ISBN-13,Title,Author,Publisher,Description,NYT Review Link,Most Recent Bestseller Date,Most Recent Rank,Number of Weeks on List
9.78074E+12,On Beauty,Zadie Smith,,,https://www.nytimes.com/2005/09/18/books/review/18rich.html,null,null,null
9.78006E+12,The Liars' Club: A Memoir,Mary Karr,,,https://www.nytimes.com/1996/05/05/books/new-noteworthy-paperbacks-023540.html,null,null,null
9.78014E+12,Saturday,Ian McEwan,,,,null,null,null
9.7814E+12,THE INNOCENT MAN,John Grisham,Bantam/Dell,Grisham's first nonfiction book concerns a man wrongly sentenced to death.,https://www.nytimes.com/2006/12/10/books/review/Lewine.t.html,4/6/2019,15,55
9.7814E+12,BATMAN: ARKHAM ASYLUM,Grant Morrison and Dave McKean,DC Comics,"In this critically-acclaimed paint graphic novel, Batman finds himself facing off against his major villains at a home for criminally insane.",,8/4/2012,10,24
9.78069E+12,The Demon-Haunted World: Science as a Candle in the Dark,Ann Druyan,,,https://www.nytimes.com/1996/04/07/books/invasion-of-the-body-snatchers.html,null,null,null
9.78038E+12,SALT,Mark Kurlansky,Penguin Group,"The economic, political, chemical and industrial story behind a valuable substance.",https://www.nytimes.com/2002/02/24/books/nacl.html,12/3/2011,14,1
9.78045E+12,I'm a Stranger Here Myself: Notes on Returning to America After 20 Years Away,Bill Bryson,,,https://www.nytimes.com/1999/05/30/books/notes-from-a-huge-landmass.html,null,null,null
9.78142E+12,March,Geraldine Brooks,,,https://www.nytimes.com/2005/03/27/books/review/027MALLON.html,null,null,null
9.78074E+12,THE BLACK ICE,Michael Connelly,"Little, Brown",The Los Angeles detective Harry Bosch investigates the scandalous death of a narcotics officer.,,7/16/2016,20,0
9.78081E+12,BITTER IS THE NEW BLACK,Jen Lancaster,NAL,,,11/29/2014,11,0
9.78037E+12,ALONE,Lisa Gardner,Random House,A woman who survived a horrible childhood abduction may have tricked the Massachusetts police sniper Bobby Dodge into killing her husband.,,3/26/2011,35,0
9.78076E+12,Here on Earth (Oprah's Book Club),Alice Hoffman,,,https://www.nytimes.com/1997/09/14/books/heathcliff-redux.html,null,null,null
9.78045E+12,Lost in a Good Book (A Thursday Next Novel),Jasper Fforde,,,https://www.nytimes.com/2003/06/22/books/characters-in-search-of-an-exit.html,null,null,null
9.78006E+12,Rainbow Six,Tom Clancy,,,https://www.nytimes.com/1998/08/30/books/books-in-brief-fiction-469513.html,null,null,null
9.78038E+12,Debt of Honor (Jack Ryan),Tom Clancy,,,https://www.nytimes.com/1994/10/02/books/crime-mystery-megabashing-japan.html,null,null,null
9.78014E+12,I FEEL BAD ABOUT MY NECK,Nora Ephron,Vintage,A witty look at aging from the novelist and screenwriter who died on June 26.,https://www.nytimes.com/2006/08/20/books/review/20Schillinger.html,8/18/2012,31,0
9.78074E+12,Beach Music: A Novel,Pat Conroy,,,https://www.nytimes.com/1995/07/02/books/you-can-go-home-again-and-again.html,null,null,null
9.78045E+12,Theodore Rex,Edmund Morris,,,https://www.nytimes.com/2001/12/09/books/carrying-sticks-and-hugging-trees.html,null,null,null
9.78014E+12,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,Doris Kearns Goodwin,,,https://www.nytimes.com/1994/09/11/books/affairs-both-foreign-and-domestic.html,null,null,null
